pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,4.46857814511612e-23,1.90450800544849e-19,1.24623277191648,0.540155888142393,2.67394741837266,245,CYR61|LAMA2|ADAMTS1|ADAMTS5|CAV2|LOXL1|LAMC1|POSTN|OLFML2B|SH3PXD2B|LOXL3|CAV1|ITGB3|SMOC1|CCDC80|TIE1|NTN4|ADAMTS2|COL28A1|LRP1|P3H1|FAP|AEBP1|COMP|BMP2|COL8A1|ADAMTSL2|EGFLAM|LOX|P4HA3|ADAMTS15|FKBP10|OLFML2A|B4GALT1|ADAMTSL1|PHLDB2|SULF2|ENG|COL1A1|PRICKLE1|ADAMTS10|CTSK|COLEC12|PHLDB1|TGFBR3|NID2|KAZALD1|RUNX1|PAPLN|POMT2|TGFB2|GAS6|FLRT2|ADAMTS9|HPSE2|GFOD2|ANTXR2|VPS33B|COL6A1|TLL1|P4HA1|DDR2|GREM1|SERPINH1|LOXL2|COL5A1|TCF15|COL18A1|COL8A2|ADAMTS19|ADAMTS3|CRTAP|COLGALT1|COL24A1|MMP16|COL4A2|COL5A2|WT1|P3H4|RIC8A|ANTXR1|DAG1|COL1A2|ITGB1|AXIN2|LAMB1|ADAMTS6|COL16A1|COL3A1|ABL1|TNFRSF1B|MMP28|RXFP1|SMOC2|TIMP3|PXDN|VIT|MMP11|VWA1|COL4A1|QSOX1|MPV17|NID1|NPNT|ADAMTS8|ECM2|HPSE|CRISPLD2|MMP1|POMT1|MYH11|CTSS|SOX9|MMP17|ADAMTS13|PRDM5|COL12A1|VIPAS39|TGFBI|TNFRSF11B|MMP23A|FSHR|GPM6B|NOX1|THSD4|ADAMTS7|RGCC|MMP2|COL19A1|COL14A1|COL13A1|RLTPR|ADAMTSL3|NFKB2|FSCN1|WASHC1|PDGFRA
GOBP_GOLGI_VESICLE_TRANSPORT,1.7890532399739e-21,3.81247245438438e-18,1.19534448258848,-0.503487511156438,-2.64263815875671,263,TBC1D14|KDELR2|SAR1B|MCFD2|TRAPPC11|ARFGEF2|GABARAPL2|YIPF4|RAB2A|AP3S1|LYPLA1|EXOC5|VAPB|SURF4|KIF16B|MIA2|RER1|SEC23A|SCAMP1|CUL3|TMED7|PSMD14|PGAP1|TRAPPC8|RAB43|TRAPPC10|SPAST|SEC24A|ARFGAP3|CNIH4|AP1AR|LAMP1|ACSL3|PDCD6|RP2|COPB1|RAB11A|TMED5|RAB1B|ARF4|SEC22A|ATP9B|RABGGTB|SEC23IP|BET1|TRIP11|RAB33B|PHAF1|GOLGA5|SNX2|LMAN1L|INSIG1|GOSR2|VPS41|RAB3IP|SNAP23|NAPG|AP3M1|RBSN|VPS13A|COG3|VTI1A|MYO5A|RAB14|STX18|ERGIC1|COPB2|COG2|VAPA|YIPF5|PREPL|GCC2|RNF139|AP1M1|GOLT1B|EHD3|OPTN|ARFRP1|AMN|SEC24C|TMED2|ATP2C1|AP1G1|SEC22B|EXOC1|SEC24B|PRKD1|ATL2|ARL8B|GBF1|TRAPPC2L|MON2|ERGIC3|PRKCI|GOSR1|IER3IP1|COPE|EXOC2|NSF|GOLGA7|TRAPPC13|GAK|DOPEY2|ANXA13|SYS1|TRAPPC12|SEC31B
GOBP_VESICLE_ORGANIZATION,5.83367053024305e-18,8.28770126663196e-15,1.0959292864312,-0.446500190329265,-2.3865223099491,307,AP1S2|PI4K2B|SAR1B|TRAPPC11|ARFGEF2|ATP6V1C1|YIPF4|ATP6AP2|RAB2A|AP3S1|CHMP2B|ATP6V1E1|SNX5|STX7|RAB32|VAPB|SURF4|STX2|SEC23A|ATP6V1A|CUL3|ATP6V0C|RAB7A|TSG101|TRAPPC8|PLEKHA3|STAM2|TRAPPC10|SEC24A|ARFGAP3|VPS37A|SNX32|WASL|DTNBP1|VAV3|PDCD6|TMEM9|RAB11A|PAFAH1B1|SNAP29|RAB1B|STX16|ZDHHC15|ANKRD27|AKTIP|PDCD6IP|CHMP5|CHMP1B|TBPL1|BET1|AXDND1|SNX2|INSIG1|GOSR2|VPS41|TMF1|STXBP6|SNAP23|RAB20|VPS18|STX12|AP3M1|F2R|ATP6V1B2|RAB27A|VTI1A|TMEM175|RAB14|STAM|VTA1|PARK2|ZDHHC20|BLOC1S6|VPS4B|AGFG1|VAPA|WASHC4|DNAJC13|YIPF5|USP8|SYNJ1|AP1M1|CHMP4C|AP3B1|FNBP1L|SEC24C|TMED2|CHMP3|VPS36|AP1G1|ZNRF2|SEC22B|VPS37B|SLC9A8|SEC24B|ARL8B|GBF1|TRAPPC2L|SDC4|SDCBP|PRKCI|GOSR1|DCAF17|SDC1|VPS39|TRAPPC13|AQP11|MFSD14A|CLCN3|TRAPPC12|CHMP1A|SEC31B|VAMP1|POC1B|BLOC1S2|TMEM27|CERS2|C2CD5|AP1S3|EXOC8|PIK3C3|SEC13|SQSTM1|PREB|ATP6V1H|GOLPH3|PICALM|PLEKHF2
GOBP_OXIDATIVE_PHOSPHORYLATION,8.43281360794373e-16,7.18813031941123e-13,1.02766987054358,-0.630894966535999,-2.8597089235031,92,COX7A2L|DNAJC15|NDUFB10|CYCS|TMEM135|ATP5PB|RHOA|ATP5J|ATP5C1|UQCRB|NDUFA9|SDHD|C26H6ORF125|UQCR10|NDUFS3|SDHB|NDUFA5|COX7B|NDUFA10|SLC25A33|NDUFAF1|UQCRFS1|UQCRHL|COX7C|COX6C|ATP5H|COX7A2|SDHA|NDUFS4|PPIF|NDUFB9|GHITM|ATP5J2|NDUFV3|NDUFB8|COX4I1|ATP5O|CHCHD2|NDUFA6|DLD|ATP5I|NDUFAB1|ATP5F1AZ|PARK7|NDUFS6|UQCR11|NDUFS1|NDUFV2|FXN|NDUFB3|NDUFA11|NDUFB5|ETFRF1|NDUFB6|NDUFA13|NDUFA8|NDUFB2|ATP5L|UQCRQ|NDUFB4|FAM173B|COX5A|NDUFC2
GOBP_CELLULAR_RESPIRATION,8.03465416603775e-16,7.18813031941123e-13,1.02766987054358,-0.471131847945494,-2.45596096399172,239,COX7A2L|DNAJC15|NDUFB10|CYCS|TMEM135|HCCS|GPI|FH|IDH1|IDE|SUCLA2|ATP5PB|RHOA|ETFDH|ATP5J|MDH1|ATP5C1|PSEN1|SLC25A13|LIPA|UQCRB|LDHA|NDUFA9|SDHD|MDH2|NNT|C26H6ORF125|UQCR10|NDUFS3|SDHB|NDUFA5|ALDOB|PGK2|PPARA|COX7B|NDUFA10|SLC25A33|SUCLG2|MRPS36|NDUFAF1|UQCRFS1|PRKAA1|CISD1|UQCRHL|COX7C|MFN2|COX6C|PDP1|LYRM7|ATP5H|ACO1|COX7A2|FBP1|DLAT|IDH3A|PRKAG2|SDHA|NDUFS4|CAT|PUM2|PDK1|PPIF|NDUFB9|GHITM|FLCN|ATP5J2|MTTP|NDUFV3|HKDC1|TPI1|NDUFB8|TPK1|COX4I1|ATP5O|ENO4|PPP2CA|CHCHD2|NDUFA6|DLD|GAPDH|ATP5I|NDUFAB1|ATP5F1AZ|SUCLG1|MFSD8|PDHB|PARK7|NDUFS6|UQCR11|MTFR1L|PFKFB3|NDUFS1|NDUFV2|FXN|NDUFB3|IL10RB|NDUFA11|PDHX|NDUFB5|ETFRF1|NDUFB6|PRKAG1|PDHA2|AAED1|EIF6|PGM1|PANK2
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,1.4759552256925e-15,1.04842019531691e-12,1.01754479730988,-0.602360550502935,-2.79897145000736,109,SAR1B|MCFD2|TRAPPC11|YIPF4|RAB2A|VAPB|SURF4|MIA2|SEC23A|CUL3|TMED7|PGAP1|TRAPPC8|RAB43|TRAPPC10|SPAST|SEC24A|CNIH4|PDCD6|COPB1|TMED5|RAB1B|ARF4|SEC22A|RABGGTB|SEC23IP|BET1|TRIP11|LMAN1L|INSIG1|GOSR2|COG3|VTI1A|STX18|ERGIC1|COPB2|VAPA|YIPF5|RNF139|GOLT1B|SEC24C|TMED2|SEC22B|SEC24B|ATL2|GBF1|TRAPPC2L|ERGIC3|GOSR1|IER3IP1|COPE|TRAPPC13|TRAPPC12|SEC31B|SEC13|PREB|SCFD1|GOPC|TRAPPC6A|TRAPPC4|VAMP7
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,7.76865741723755e-15,4.73000255889521e-12,0.986546283587582,-0.562439586788111,-2.67152970407375,123,COX7A2L|ATP6V1C1|NDUFB10|ATP6AP2|ATP6V1E1|ATP1B1|SLC9A2|ATP5PB|ATP5J|ATP6V1A|LETM1|ATP6V0C|ATP5C1|SLC25A13|NDUFA9|NNT|UQCR10|NDUFS3|NDUFA5|COX7B|NDUFA10|CTNS|UQCRFS1|SLC9A3|UQCRHL|ATP5G3|ATP5H|SLC25A3|ATP1A1|SLC15A1|ATP6V0A2|NDUFS4|ATP6V1B2|SLC36A1|TMEM175|NDUFB9|GHITM|ATP5J2|NDUFV3|CLCN7|NDUFB8|ATP5S|COX4I1|SLC17A5|ATP5O|SLC4A10|SLC9A8|NDUFA6|ATP5I|SLC18B1|ATP5F1AZ|SLC2A9|NDUFS6|ATP6V0E1|CLCN3|NDUFS1|NDUFV2|PHB2|ASIC5|NDUFB3|NDUFB5|ATP6V1H|ATP4B|NDUFB6
GOBP_ENDOSOMAL_TRANSPORT,5.02811941476952e-14,2.67873061821846e-11,0.965327754226083,-0.439948591637536,-2.30053311043195,252,TBC1D14|VPS50|RAB9A|ARFIP1|CHMP2B|SNX5|FAM45A|RAB21|VPS29|SURF4|KIF16B|RAB7A|RAB5A|COMMD5|TSG101|PLEKHA3|STAM2|TRAPPC10|RAB8B|VPS37A|SNX4|SNX32|MAPK3|ARHGAP8|VPS35|RAB11A|NSG1|STX16|TBC1D23|ANKRD27|AKTIP|CHMP5|CHMP1B|VPS26A|LMTK2|EVI5|AP5M1|SNX2|LMAN1L|LEPROT|STX12|DYNC1LI1|MAP2K1|RBSN|VTI1A|RAB14|STAM|COMMD2|SNX16|VTA1|PARK2|CLEC16A|VPS4B|DENND1B|WASHC4|TMEM87B|DNAJC13|RAB35|PREPL|GCC2|RIC1|TSSC1|INPP5F|GOLT1B|SNX7|EHD3|ACAP2|WDR91|CHMP4C|ARFRP1|EZR|CHMP3|VPS36|VPS37B|TMEM50B|ARL8B|GBF1|DAB2|MON2|GOSR1|ARF6|VPS39|TMEM50A|ARL1|CMTM6|COMMD9|CHMP1A|CLTC|BLOC1S2|SNX9|PIK3C3|USP7|COMMD8|C16orf62|SQSTM1
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,1.06411461941005e-13,5.03917389769515e-11,0.954541630725724,-0.371388828023549,-2.06029088115682,422,OPA1|NUDT7|NDUFB10|PANK3|GPI|DNM1L|ENPP3|ATP1B1|IDH1|SUCLA2|ATP5PB|H6PD|SULT1C3|ATP5J|GOT1|MDH1|ATP6V1A|ATP6V0C|ATP5C1|GPD2|PSEN1|NUDT2|ADSS2|SLC25A13|LIPA|LDHA|NDUFA9|SDHD|MDH2|HMGCR|NNT|NDUFS3|ACSL3|SDHB|NDUFA5|ALDOB|HSD17B4|PGK2|PPARA|NAMPTP1|NDUFA10|CTNS|GDA|SUCLG2|ADSS1|PRKAA1|HACD2|ACOT9|ATP5G3|AK3|SLC16A9|NUDT19|ELOVL2|PDP1|MFN1|ATP5H|ACO1|ENPP1|FBP1|DLAT|DPYD|PRKAG2|MAP2K1|SDHA|NDUFS4|ATP6V1B2|GPAM|PDK1|NDUFB9|CLPX|PPCS|ENPP4|CASK|PARK2|FLCN|GUCY2C|CROT|NME3|ATP5J2|BLOC1S6|ADCY7|HAAO|G6PC|MTTP|NDUFV3|ACSL5|HKDC1|TPI1|NDUFB8|TTR|ATP5S|TPK1|ABCC6|ELOVL7|ATP5O|NADK|ENO4|PPP2CA|NDUFA6|DLG1|DLD|GAPDH|NUDT12|ADAL|ATP5I|RBKS|OXSM|MCEE|NDUFAB1|HMGCS1|NUDT4|BPNT1|ATP5F1AZ|SUCLG1|COX11|CACNB4|MFSD8|SLC2A9|PDHB|NDUFS6|RORA|SLC4A7|GPD1L|PGD|ENTPD7|AK5|DERA|DGAT2|PFKFB3|MCCC2|DCXR|ENTPD4|NMNAT2|MTAP|NME5|NDUFS1|NDUFV2|ACSBG1|NDUFB3|PDE5A|NDUFA11|PDHX|XDH|NDUFB5|ACSM5|DBT|NDUFB6|ACOT8|PRKAG1|PDHA2|AAED1|CARMIL1|EIF6|PGM1|PANK2|NUDT3|SLC25A22|HPRT1|ACOT12|PKLR|NADSYN1|ENO1|NMRK1|ACSM3|NDUFA13|NDUFA8|KYNU|NDUFB2|ATP5L|NUDT8|NDUFB4|ABCG2|ADA|ACSS1A|PGM2|PCCA|FAM173B
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,1.57945465071495e-13,6.73163572134712e-11,0.943632225232838,-0.398731004815738,-2.15386646134082,343,COX7A2L|MCUR1|DNAJC15|NDUFB10|CYCS|TMEM135|HCCS|GPI|FH|IDH1|IDE|SUCLA2|ATP5PB|H6PD|RHOA|ETFDH|UGP2|ATP5J|MDH1|ATP5C1|GNPDA1|PSEN1|SLC25A13|LIPA|UQCRB|LDHA|NDUFA9|SDHD|DYRK2|FDX1|MDH2|NNT|C26H6ORF125|UQCR10|NDUFS3|SDHB|NDUFA5|ATG3|ALDOB|PGK2|PPARA|COX7B|NDUFA10|SLC25A33|SUCLG2|MRPS36|PPP1CC|NDUFAF1|UQCRFS1|PRKAA1|CISD1|UQCRHL|COX7C|MFN2|COX6C|PDP1|LYRM7|GBE1|ATP5H|ACO1|PPP1R2|COX7A2|ENPP1|FBP1|DLAT|SELENOS|IDH3A|PRKAG2|SDHA|NDUFS4|CAT|PUM2|XYLB|PDK1|PPIF|NDUFB9|GHITM|FLCN|CROT|ATP5J2|PHKB|G6PC|MTTP|NDUFV3|HKDC1|TPI1|NDUFB8|TPK1|GPR180|COX4I1|ATG12|ATP5O|ENO4|PPP2CA|AACS|CHCHD2|NDUFA6|DLD|GAPDH|MCU|ATP5I|RBKS|ACOX1|NDUFAB1|ATP5F1AZ|SUCLG1|MFSD8|PDHB|PARK7|NDUFS6|GYG1|PGD|UQCR11|DERA|MTFR1L|PFKFB3|ADHFE1|PER2|GFPT1|NDUFS1|PPP1CB|NDUFV2|FXN|NDUFB3|IL10RB|NDUFA11|PDHX|NDUFB5|ETFRF1|PDIA5|NDUFB6|PRKAG1|PDHA2|AAED1|EIF6|PGM1|PANK2
